precinct;gender;nationality;marital_status;num
4;Мужской;Мордвины;Холостые/девицы;2
4;Мужской;Финны;Холостые/девицы;0
4;Мужской;Греки;Холостые/девицы;3
4;Мужской;Шведы;Холостые/девицы;0
4;Мужской;Грузины;Холостые/девицы;4
4;Мужской;Белоруссы;Холостые/девицы;1
4;Мужской;Черкесы;Холостые/девицы;1
4;Мужской;Французы;Холостые/девицы;4
4;Мужской;Словаки;Холостые/девицы;4
4;Мужской;Латыши;Холостые/девицы;0
4;Мужской;Чехи;Холостые/девицы;1
4;Мужской;Англичане;Холостые/девицы;0
4;Мужской;Лезгины;Холостые/девицы;0
4;Мужской;Чуваши;Холостые/девицы;0
4;Мужской;Хивинцы;Холостые/девицы;0
4;Мужской;Кроаты;Холостые/девицы;0
4;Мужской;Осетины;Холостые/девицы;0
4;Мужской;Сербы;Холостые/девицы;1
4;Мужской;Норвежцы;Холостые/девицы;0
4;Мужской;Датчане;Холостые/девицы;0
4;Мужской;Румыны;Холостые/девицы;0
4;Мужской;Черногорцы;Холостые/девицы;0
4;Мужской;Зыряне;Холостые/девицы;0
4;Мужской;Эстонцы;Холостые/девицы;0
4;Мужской;Черемисы;Холостые/девицы;0
4;Мужской;Литвины;Холостые/девицы;0
5;Мужской;Русские;Холостые/девицы;2293
5;Мужской;Татары;Холостые/девицы;1493
5;Мужской;Армяне;Холостые/девицы;708
5;Мужской;Евреи;Холостые/девицы;33
5;Мужской;Немцы;Холостые/девицы;123
5;Мужской;Персы;Холостые/девицы;208
5;Мужской;Поляки;Холостые/девицы;35
5;Мужской;Туркмены;Холостые/девицы;1
5;Мужской;Киргизы;Холостые/девицы;13
5;Мужской;Калмыки;Холостые/девицы;0
5;Мужской;Мордвины;Холостые/девицы;0
5;Мужской;Финны;Холостые/девицы;1
5;Мужской;Греки;Холостые/девицы;0
5;Мужской;Шведы;Холостые/девицы;2
5;Мужской;Грузины;Холостые/девицы;2
5;Мужской;Белоруссы;Холостые/девицы;0
5;Мужской;Черкесы;Холостые/девицы;3
5;Мужской;Французы;Холостые/девицы;1
5;Мужской;Словаки;Холостые/девицы;0
5;Мужской;Латыши;Холостые/девицы;1
5;Мужской;Чехи;Холостые/девицы;2
5;Мужской;Англичане;Холостые/девицы;2
5;Мужской;Лезгины;Холостые/девицы;1
5;Мужской;Чуваши;Холостые/девицы;0
5;Мужской;Хивинцы;Холостые/девицы;4
5;Мужской;Кроаты;Холостые/девицы;0
5;Мужской;Осетины;Холостые/девицы;0
5;Мужской;Сербы;Холостые/девицы;1
5;Мужской;Норвежцы;Холостые/девицы;0
5;Мужской;Датчане;Холостые/девицы;0
5;Мужской;Румыны;Холостые/девицы;0
5;Мужской;Черногорцы;Холостые/девицы;0
5;Мужской;Зыряне;Холостые/девицы;0
5;Мужской;Эстонцы;Холостые/девицы;0
5;Мужской;Черемисы;Холостые/девицы;0
5;Мужской;Литвины;Холостые/девицы;2
6;Мужской;Русские;Холостые/девицы;3937
6;Мужской;Татары;Холостые/девицы;1333
6;Мужской;Армяне;Холостые/девицы;14
6;Мужской;Евреи;Холостые/девицы;23
6;Мужской;Немцы;Холостые/девицы;53
6;Мужской;Персы;Холостые/девицы;17
6;Мужской;Поляки;Холостые/девицы;15
6;Мужской;Туркмены;Холостые/девицы;36
6;Мужской;Киргизы;Холостые/девицы;7
6;Мужской;Калмыки;Холостые/девицы;0
6;Мужской;Мордвины;Холостые/девицы;2
6;Мужской;Финны;Холостые/девицы;0
6;Мужской;Греки;Холостые/девицы;0
6;Мужской;Шведы;Холостые/девицы;0
6;Мужской;Грузины;Холостые/девицы;0
6;Мужской;Белоруссы;Холостые/девицы;0
6;Мужской;Черкесы;Холостые/девицы;0
6;Мужской;Французы;Холостые/девицы;1
6;Мужской;Словаки;Холостые/девицы;1
6;Мужской;Латыши;Холостые/девицы;0
6;Мужской;Чехи;Холостые/девицы;2
6;Мужской;Англичане;Холостые/девицы;0
6;Мужской;Лезгины;Холостые/девицы;0
6;Мужской;Чуваши;Холостые/девицы;0
6;Мужской;Хивинцы;Холостые/девицы;0
6;Мужской;Кроаты;Холостые/девицы;0
6;Мужской;Осетины;Холостые/девицы;0
6;Мужской;Сербы;Холостые/девицы;0
6;Мужской;Норвежцы;Холостые/девицы;0
6;Мужской;Датчане;Холостые/девицы;0
6;Мужской;Румыны;Холостые/девицы;0
6;Мужской;Черногорцы;Холостые/девицы;0
6;Мужской;Зыряне;Холостые/девицы;0
6;Мужской;Эстонцы;Холостые/девицы;0
6;Мужской;Черемисы;Холостые/девицы;0
6;Мужской;Литвины;Холостые/девицы;2
1;Женский;Русские;Холостые/девицы;1443
1;Женский;Татары;Холостые/девицы;15
1;Женский;Армяне;Холостые/девицы;20
1;Женский;Евреи;Холостые/девицы;22
1;Женский;Немцы;Холостые/девицы;43
1;Женский;Персы;Холостые/девицы;0
1;Женский;Поляки;Холостые/девицы;7
1;Женский;Туркмены;Холостые/девицы;0
1;Женский;Киргизы;Холостые/девицы;1
1;Женский;Калмыки;Холостые/девицы;0
1;Женский;Мордвины;Холостые/девицы;2
1;Женский;Финны;Холостые/девицы;1
1;Женский;Греки;Холостые/девицы;1
1;Женский;Шведы;Холостые/девицы;1
1;Женский;Грузины;Холостые/девицы;0
1;Женский;Белоруссы;Холостые/девицы;0
1;Женский;Черкесы;Холостые/девицы;0
1;Женский;Французы;Холостые/девицы;0
1;Женский;Словаки;Холостые/девицы;0
1;Женский;Латыши;Холостые/девицы;0
1;Женский;Чехи;Холостые/девицы;0
1;Женский;Англичане;Холостые/девицы;1
1;Женский;Лезгины;Холостые/девицы;0
1;Женский;Чуваши;Холостые/девицы;0
1;Женский;Хивинцы;Холостые/девицы;0
1;Женский;Кроаты;Холостые/девицы;0
1;Женский;Осетины;Холостые/девицы;0
1;Женский;Сербы;Холостые/девицы;0
1;Женский;Норвежцы;Холостые/девицы;0
1;Женский;Датчане;Холостые/девицы;0
1;Женский;Румыны;Холостые/девицы;0
1;Женский;Черногорцы;Холостые/девицы;0
1;Женский;Зыряне;Холостые/девицы;0
1;Женский;Эстонцы;Холостые/девицы;0
1;Женский;Черемисы;Холостые/девицы;0
1;Женский;Литвины;Холостые/девицы;0
2;Женский;Русские;Холостые/девицы;1714
2;Женский;Татары;Холостые/девицы;42
2;Женский;Армяне;Холостые/девицы;211
2;Женский;Евреи;Холостые/девицы;401
2;Женский;Немцы;Холостые/девицы;118
2;Женский;Персы;Холостые/девицы;2
2;Женский;Поляки;Холостые/девицы;29
2;Женский;Туркмены;Холостые/девицы;0
2;Женский;Киргизы;Холостые/девицы;0
2;Женский;Калмыки;Холостые/девицы;0
2;Женский;Мордвины;Холостые/девицы;0
2;Женский;Финны;Холостые/девицы;1
2;Женский;Греки;Холостые/девицы;0
2;Женский;Шведы;Холостые/девицы;1
2;Женский;Грузины;Холостые/девицы;0
2;Женский;Белоруссы;Холостые/девицы;0
2;Женский;Черкесы;Холостые/девицы;0
2;Женский;Французы;Холостые/девицы;3
2;Женский;Словаки;Холостые/девицы;3
2;Женский;Латыши;Холостые/девицы;1
2;Женский;Чехи;Холостые/девицы;0
2;Женский;Англичане;Холостые/девицы;0
2;Женский;Лезгины;Холостые/девицы;0
2;Женский;Чуваши;Холостые/девицы;0
2;Женский;Хивинцы;Холостые/девицы;0
2;Женский;Кроаты;Холостые/девицы;0
2;Женский;Осетины;Холостые/девицы;0
2;Женский;Сербы;Холостые/девицы;0
2;Женский;Норвежцы;Холостые/девицы;0
2;Женский;Датчане;Холостые/девицы;0
2;Женский;Румыны;Холостые/девицы;0
2;Женский;Черногорцы;Холостые/девицы;0
2;Женский;Зыряне;Холостые/девицы;0
2;Женский;Эстонцы;Холостые/девицы;0
2;Женский;Черемисы;Холостые/девицы;0
2;Женский;Литвины;Холостые/девицы;0
3;Женский;Русские;Холостые/девицы;3401
3;Женский;Татары;Холостые/девицы;60
3;Женский;Армяне;Холостые/девицы;15
3;Женский;Евреи;Холостые/девицы;12
3;Женский;Немцы;Холостые/девицы;90
3;Женский;Персы;Холостые/девицы;0
3;Женский;Поляки;Холостые/девицы;14
3;Женский;Туркмены;Холостые/девицы;0
3;Женский;Киргизы;Холостые/девицы;0
3;Женский;Калмыки;Холостые/девицы;0
3;Женский;Мордвины;Холостые/девицы;2
3;Женский;Финны;Холостые/девицы;1
3;Женский;Греки;Холостые/девицы;0
3;Женский;Шведы;Холостые/девицы;2
3;Женский;Грузины;Холостые/девицы;0
3;Женский;Белоруссы;Холостые/девицы;0
3;Женский;Черкесы;Холостые/девицы;0
3;Женский;Французы;Холостые/девицы;1
3;Женский;Словаки;Холостые/девицы;0
3;Женский;Латыши;Холостые/девицы;0
3;Женский;Чехи;Холостые/девицы;0
3;Женский;Англичане;Холостые/девицы;0
3;Женский;Лезгины;Холостые/девицы;0
3;Женский;Чуваши;Холостые/девицы;0
3;Женский;Хивинцы;Холостые/девицы;0
3;Женский;Кроаты;Холостые/девицы;0
3;Женский;Осетины;Холостые/девицы;0
3;Женский;Сербы;Холостые/девицы;0
3;Женский;Норвежцы;Холостые/девицы;0
3;Женский;Датчане;Холостые/девицы;0
3;Женский;Румыны;Холостые/девицы;0
3;Женский;Черногорцы;Холостые/девицы;0
3;Женский;Зыряне;Холостые/девицы;1
3;Женский;Эстонцы;Холостые/девицы;0
3;Женский;Черемисы;Холостые/девицы;0
3;Женский;Литвины;Холостые/девицы;0
4;Женский;Русские;Холостые/девицы;2993
4;Женский;Татары;Холостые/девицы;96
4;Женский;Армяне;Холостые/девицы;144
4;Женский;Евреи;Холостые/девицы;19
4;Женский;Немцы;Холостые/девицы;73
4;Женский;Персы;Холостые/девицы;2
4;Женский;Поляки;Холостые/девицы;17
4;Женский;Туркмены;Холостые/девицы;0
4;Женский;Киргизы;Холостые/девицы;0
4;Женский;Калмыки;Холостые/девицы;0
4;Женский;Мордвины;Холостые/девицы;3
4;Женский;Финны;Холостые/девицы;0
4;Женский;Греки;Холостые/девицы;1
4;Женский;Шведы;Холостые/девицы;0
4;Женский;Грузины;Холостые/девицы;1
4;Женский;Белоруссы;Холостые/девицы;0
4;Женский;Черкесы;Холостые/девицы;0
4;Женский;Французы;Холостые/девицы;3
4;Женский;Словаки;Холостые/девицы;2
4;Женский;Латыши;Холостые/девицы;0
4;Женский;Чехи;Холостые/девицы;0
4;Женский;Англичане;Холостые/девицы;0
4;Женский;Лезгины;Холостые/девицы;0
4;Женский;Чуваши;Холостые/девицы;0
4;Женский;Хивинцы;Холостые/девицы;0
4;Женский;Кроаты;Холостые/девицы;0
4;Женский;Осетины;Холостые/девицы;0
4;Женский;Сербы;Холостые/девицы;0
4;Женский;Норвежцы;Холостые/девицы;0
4;Женский;Датчане;Холостые/девицы;0
4;Женский;Румыны;Холостые/девицы;0
4;Женский;Черногорцы;Холостые/девицы;0
4;Женский;Зыряне;Холостые/девицы;0
4;Женский;Эстонцы;Холостые/девицы;0
4;Женский;Черемисы;Холостые/девицы;0
4;Женский;Литвины;Холостые/девицы;0
5;Женский;Русские;Холостые/девицы;2081
5;Женский;Татары;Холостые/девицы;944
5;Женский;Армяне;Холостые/девицы;600
5;Женский;Евреи;Холостые/девицы;51
5;Женский;Немцы;Холостые/девицы;161
5;Женский;Персы;Холостые/девицы;111
5;Женский;Поляки;Холостые/девицы;13
5;Женский;Туркмены;Холостые/девицы;1
5;Женский;Киргизы;Холостые/девицы;4
5;Женский;Калмыки;Холостые/девицы;0
5;Женский;Мордвины;Холостые/девицы;0
5;Женский;Финны;Холостые/девицы;0
5;Женский;Греки;Холостые/девицы;0
5;Женский;Шведы;Холостые/девицы;0
5;Женский;Грузины;Холостые/девицы;2
5;Женский;Белоруссы;Холостые/девицы;0
5;Женский;Черкесы;Холостые/девицы;0
5;Женский;Французы;Холостые/девицы;1
5;Женский;Словаки;Холостые/девицы;0
5;Женский;Латыши;Холостые/девицы;0
5;Женский;Чехи;Холостые/девицы;0
5;Женский;Англичане;Холостые/девицы;0
5;Женский;Лезгины;Холостые/девицы;0
5;Женский;Чуваши;Холостые/девицы;0
5;Женский;Хивинцы;Холостые/девицы;0
5;Женский;Кроаты;Холостые/девицы;0
5;Женский;Осетины;Холостые/девицы;0
5;Женский;Сербы;Холостые/девицы;0
5;Женский;Норвежцы;Холостые/девицы;0
5;Женский;Датчане;Холостые/девицы;0
5;Женский;Румыны;Холостые/девицы;0
5;Женский;Черногорцы;Холостые/девицы;0
5;Женский;Зыряне;Холостые/девицы;0
5;Женский;Эстонцы;Холостые/девицы;0
5;Женский;Черемисы;Холостые/девицы;0
5;Женский;Литвины;Холостые/девицы;1
6;Женский;Русские;Холостые/девицы;3283
6;Женский;Татары;Холостые/девицы;948
6;Женский;Армяне;Холостые/девицы;2
6;Женский;Евреи;Холостые/девицы;20
6;Женский;Немцы;Холостые/девицы;53
6;Женский;Персы;Холостые/девицы;4
6;Женский;Поляки;Холостые/девицы;16
6;Женский;Туркмены;Холостые/девицы;18
6;Женский;Киргизы;Холостые/девицы;7
6;Женский;Калмыки;Холостые/девицы;0
6;Женский;Мордвины;Холостые/девицы;2
6;Женский;Финны;Холостые/девицы;0
6;Женский;Греки;Холостые/девицы;0
6;Женский;Шведы;Холостые/девицы;4
6;Женский;Грузины;Холостые/девицы;0
6;Женский;Белоруссы;Холостые/девицы;0
6;Женский;Черкесы;Холостые/девицы;0
6;Женский;Французы;Холостые/девицы;0
6;Женский;Словаки;Холостые/девицы;0
6;Женский;Латыши;Холостые/девицы;0
6;Женский;Чехи;Холостые/девицы;0
6;Женский;Англичане;Холостые/девицы;0
6;Женский;Лезгины;Холостые/девицы;0
6;Женский;Чуваши;Холостые/девицы;0
6;Женский;Хивинцы;Холостые/девицы;0
6;Женский;Кроаты;Холостые/девицы;0
6;Женский;Осетины;Холостые/девицы;0
6;Женский;Сербы;Холостые/девицы;0
6;Женский;Норвежцы;Холостые/девицы;0
6;Женский;Датчане;Холостые/девицы;0
6;Женский;Румыны;Холостые/девицы;0
6;Женский;Черногорцы;Холостые/девицы;0
6;Женский;Зыряне;Холостые/девицы;0
6;Женский;Эстонцы;Холостые/девицы;0
6;Женский;Черемисы;Холостые/девицы;0
6;Женский;Литвины;Холостые/девицы;1
1;Мужской;Русские;Женатые/замужние;2250
1;Мужской;Татары;Женатые/замужние;114
1;Мужской;Армяне;Женатые/замужние;36
1;Мужской;Евреи;Женатые/замужние;38
1;Мужской;Немцы;Женатые/замужние;27
1;Мужской;Персы;Женатые/замужние;11
1;Мужской;Поляки;Женатые/замужние;10
1;Мужской;Туркмены;Женатые/замужние;0
1;Мужской;Киргизы;Женатые/замужние;0
1;Мужской;Калмыки;Женатые/замужние;7
1;Мужской;Мордвины;Женатые/замужние;8
1;Мужской;Финны;Женатые/замужние;1
1;Мужской;Греки;Женатые/замужние;4
1;Мужской;Шведы;Женатые/замужние;4
1;Мужской;Грузины;Женатые/замужние;1
1;Мужской;Белоруссы;Женатые/замужние;0
1;Мужской;Черкесы;Женатые/замужние;5
1;Мужской;Французы;Женатые/замужние;0
1;Мужской;Словаки;Женатые/замужние;0
1;Мужской;Латыши;Женатые/замужние;0
1;Мужской;Чехи;Женатые/замужние;0
1;Мужской;Англичане;Женатые/замужние;0
1;Мужской;Лезгины;Женатые/замужние;0
1;Мужской;Чуваши;Женатые/замужние;0
1;Мужской;Хивинцы;Женатые/замужние;0
1;Мужской;Кроаты;Женатые/замужние;1
1;Мужской;Осетины;Женатые/замужние;0
1;Мужской;Сербы;Женатые/замужние;0
1;Мужской;Норвежцы;Женатые/замужние;0
1;Мужской;Датчане;Женатые/замужние;0
1;Мужской;Румыны;Женатые/замужние;0
1;Мужской;Черногорцы;Женатые/замужние;1
1;Мужской;Зыряне;Женатые/замужние;0
1;Мужской;Эстонцы;Женатые/замужние;0
1;Мужской;Черемисы;Женатые/замужние;0
1;Мужской;Литвины;Женатые/замужние;0
2;Мужской;Русские;Женатые/замужние;1406
2;Мужской;Татары;Женатые/замужние;171
2;Мужской;Армяне;Женатые/замужние;139
2;Мужской;Евреи;Женатые/замужние;251
2;Мужской;Немцы;Женатые/замужние;48
2;Мужской;Персы;Женатые/замужние;81
2;Мужской;Поляки;Женатые/замужние;38
2;Мужской;Туркмены;Женатые/замужние;0
2;Мужской;Киргизы;Женатые/замужние;0
2;Мужской;Калмыки;Женатые/замужние;0
2;Мужской;Мордвины;Женатые/замужние;0
2;Мужской;Финны;Женатые/замужние;2
2;Мужской;Греки;Женатые/замужние;1
2;Мужской;Шведы;Женатые/замужние;1
2;Мужской;Грузины;Женатые/замужние;2
2;Мужской;Белоруссы;Женатые/замужние;2
2;Мужской;Черкесы;Женатые/замужние;0
2;Мужской;Французы;Женатые/замужние;0
2;Мужской;Словаки;Женатые/замужние;1
2;Мужской;Латыши;Женатые/замужние;2
2;Мужской;Чехи;Женатые/замужние;0
2;Мужской;Англичане;Женатые/замужние;0
2;Мужской;Лезгины;Женатые/замужние;0
2;Мужской;Чуваши;Женатые/замужние;0
2;Мужской;Хивинцы;Женатые/замужние;0
2;Мужской;Кроаты;Женатые/замужние;2
2;Мужской;Осетины;Женатые/замужние;0
2;Мужской;Сербы;Женатые/замужние;0
2;Мужской;Норвежцы;Женатые/замужние;0
2;Мужской;Датчане;Женатые/замужние;1
2;Мужской;Румыны;Женатые/замужние;1
2;Мужской;Черногорцы;Женатые/замужние;0
2;Мужской;Зыряне;Женатые/замужние;0
2;Мужской;Эстонцы;Женатые/замужние;0
2;Мужской;Черемисы;Женатые/замужние;0
2;Мужской;Литвины;Женатые/замужние;1
3;Мужской;Русские;Женатые/замужние;5099
3;Мужской;Татары;Женатые/замужние;207
3;Мужской;Армяне;Женатые/замужние;11
3;Мужской;Евреи;Женатые/замужние;13
3;Мужской;Немцы;Женатые/замужние;47
3;Мужской;Персы;Женатые/замужние;1
3;Мужской;Поляки;Женатые/замужние;14
3;Мужской;Туркмены;Женатые/замужние;0
3;Мужской;Киргизы;Женатые/замужние;64
3;Мужской;Калмыки;Женатые/замужние;40
3;Мужской;Мордвины;Женатые/замужние;3
3;Мужской;Финны;Женатые/замужние;4
3;Мужской;Греки;Женатые/замужние;3
3;Мужской;Шведы;Женатые/замужние;0
3;Мужской;Грузины;Женатые/замужние;0
3;Мужской;Белоруссы;Женатые/замужние;0
3;Мужской;Черкесы;Женатые/замужние;0
3;Мужской;Французы;Женатые/замужние;0
3;Мужской;Словаки;Женатые/замужние;0
3;Мужской;Латыши;Женатые/замужние;1
3;Мужской;Чехи;Женатые/замужние;1
3;Мужской;Англичане;Женатые/замужние;1
3;Мужской;Лезгины;Женатые/замужние;0
3;Мужской;Чуваши;Женатые/замужние;2
3;Мужской;Хивинцы;Женатые/замужние;0
3;Мужской;Кроаты;Женатые/замужние;0
3;Мужской;Осетины;Женатые/замужние;1
3;Мужской;Сербы;Женатые/замужние;0
3;Мужской;Норвежцы;Женатые/замужние;1
3;Мужской;Датчане;Женатые/замужние;0
3;Мужской;Румыны;Женатые/замужние;0
3;Мужской;Черногорцы;Женатые/замужние;0
3;Мужской;Зыряне;Женатые/замужние;0
3;Мужской;Эстонцы;Женатые/замужние;0
3;Мужской;Черемисы;Женатые/замужние;0
3;Мужской;Литвины;Женатые/замужние;0
4;Мужской;Русские;Женатые/замужние;2570
4;Мужской;Татары;Женатые/замужние;201
4;Мужской;Армяне;Женатые/замужние;96
4;Мужской;Евреи;Женатые/замужние;14
4;Мужской;Немцы;Женатые/замужние;38
4;Мужской;Персы;Женатые/замужние;1
4;Мужской;Поляки;Женатые/замужние;29
4;Мужской;Туркмены;Женатые/замужние;0
4;Мужской;Киргизы;Женатые/замужние;0
4;Мужской;Калмыки;Женатые/замужние;1
4;Мужской;Мордвины;Женатые/замужние;2
4;Мужской;Финны;Женатые/замужние;1
4;Мужской;Греки;Женатые/замужние;1
4;Мужской;Шведы;Женатые/замужние;0
4;Мужской;Грузины;Женатые/замужние;1
4;Мужской;Белоруссы;Женатые/замужние;0
4;Мужской;Черкесы;Женатые/замужние;2
4;Мужской;Французы;Женатые/замужние;1
4;Мужской;Словаки;Женатые/замужние;1
4;Мужской;Латыши;Женатые/замужние;0
4;Мужской;Чехи;Женатые/замужние;1
4;Мужской;Англичане;Женатые/замужние;0
4;Мужской;Лезгины;Женатые/замужние;3
4;Мужской;Чуваши;Женатые/замужние;0
4;Мужской;Хивинцы;Женатые/замужние;0
4;Мужской;Кроаты;Женатые/замужние;0
4;Мужской;Осетины;Женатые/замужние;1
4;Мужской;Сербы;Женатые/замужние;0
4;Мужской;Норвежцы;Женатые/замужние;0
4;Мужской;Датчане;Женатые/замужние;0
4;Мужской;Румыны;Женатые/замужние;0
4;Мужской;Черногорцы;Женатые/замужние;0
4;Мужской;Зыряне;Женатые/замужние;0
4;Мужской;Эстонцы;Женатые/замужние;0
4;Мужской;Черемисы;Женатые/замужние;0
4;Мужской;Литвины;Женатые/замужние;1
5;Мужской;Русские;Женатые/замужние;2016
5;Мужской;Татары;Женатые/замужние;1426
5;Мужской;Армяне;Женатые/замужние;382
5;Мужской;Евреи;Женатые/замужние;27
5;Мужской;Немцы;Женатые/замужние;101
5;Мужской;Персы;Женатые/замужние;129
5;Мужской;Поляки;Женатые/замужние;16
5;Мужской;Туркмены;Женатые/замужние;5
5;Мужской;Киргизы;Женатые/замужние;8
5;Мужской;Калмыки;Женатые/замужние;0
5;Мужской;Мордвины;Женатые/замужние;1
5;Мужской;Финны;Женатые/замужние;0
5;Мужской;Греки;Женатые/замужние;0
5;Мужской;Шведы;Женатые/замужние;0
5;Мужской;Грузины;Женатые/замужние;3
5;Мужской;Белоруссы;Женатые/замужние;0
5;Мужской;Черкесы;Женатые/замужние;5
5;Мужской;Французы;Женатые/замужние;0
5;Мужской;Словаки;Женатые/замужние;0
5;Мужской;Латыши;Женатые/замужние;0
5;Мужской;Чехи;Женатые/замужние;0
5;Мужской;Англичане;Женатые/замужние;1
5;Мужской;Лезгины;Женатые/замужние;0
5;Мужской;Чуваши;Женатые/замужние;0
5;Мужской;Хивинцы;Женатые/замужние;1
5;Мужской;Кроаты;Женатые/замужние;0
5;Мужской;Осетины;Женатые/замужние;0
5;Мужской;Сербы;Женатые/замужние;0
5;Мужской;Норвежцы;Женатые/замужние;0
