precinct;gender;nationality;physical_disability;num
1;Мужской;Армяне;Идиоты;0
1;Мужской;Армяне;Сумасшедшие;0
1;Женский;Армяне;Слепые;0
1;Женский;Армяне;Глухие;0
1;Женский;Армяне;Немые;0
1;Женский;Армяне;Глухо-немые;0
1;Женский;Армяне;Идиоты;0
1;Женский;Армяне;Сумасшедшие;0
2;Мужской;Армяне;Слепые;2
2;Мужской;Армяне;Глухие;1
2;Мужской;Армяне;Немые;0
2;Мужской;Армяне;Глухо-немые;1
2;Мужской;Армяне;Идиоты;0
2;Мужской;Армяне;Сумасшедшие;0
2;Женский;Армяне;Слепые;0
2;Женский;Армяне;Глухие;2
2;Женский;Армяне;Немые;1
2;Женский;Армяне;Глухо-немые;0
2;Женский;Армяне;Идиоты;0
2;Женский;Армяне;Сумасшедшие;0
3;Мужской;Армяне;Слепые;0
3;Мужской;Армяне;Глухие;0
3;Мужской;Армяне;Немые;0
3;Мужской;Армяне;Глухо-немые;0
3;Мужской;Армяне;Идиоты;0
3;Мужской;Армяне;Сумасшедшие;0
3;Женский;Армяне;Слепые;0
3;Женский;Армяне;Глухие;0
3;Женский;Армяне;Немые;0
3;Женский;Армяне;Глухо-немые;0
3;Женский;Армяне;Идиоты;0
3;Женский;Армяне;Сумасшедшие;0
4;Мужской;Армяне;Слепые;3
4;Мужской;Армяне;Глухие;1
4;Мужской;Армяне;Немые;0
4;Мужской;Армяне;Глухо-немые;1
4;Мужской;Армяне;Идиоты;0
4;Мужской;Армяне;Сумасшедшие;0
4;Женский;Армяне;Слепые;3
4;Женский;Армяне;Глухие;3
4;Женский;Армяне;Немые;0
4;Женский;Армяне;Глухо-немые;0
4;Женский;Армяне;Идиоты;0
4;Женский;Армяне;Сумасшедшие;1
5;Мужской;Армяне;Слепые;7
5;Мужской;Армяне;Глухие;2
5;Мужской;Армяне;Немые;0
5;Мужской;Армяне;Глухо-немые;2
5;Мужской;Армяне;Идиоты;0
5;Мужской;Армяне;Сумасшедшие;2
5;Женский;Армяне;Слепые;4
5;Женский;Армяне;Глухие;2
5;Женский;Армяне;Немые;0
5;Женский;Армяне;Глухо-немые;2
5;Женский;Армяне;Идиоты;0
5;Женский;Армяне;Сумасшедшие;1
6;Мужской;Армяне;Слепые;0
6;Мужской;Армяне;Глухие;0
6;Мужской;Армяне;Немые;0
6;Мужской;Армяне;Глухо-немые;0
6;Мужской;Армяне;Идиоты;0
6;Мужской;Армяне;Сумасшедшие;0
6;Женский;Армяне;Слепые;0
6;Женский;Армяне;Глухие;0
6;Женский;Армяне;Немые;0
6;Женский;Армяне;Глухо-немые;0
6;Женский;Армяне;Идиоты;0
6;Женский;Армяне;Сумасшедшие;0
1;Мужской;Персияне;Слепые;0
1;Мужской;Персияне;Глухие;0
1;Мужской;Персияне;Немые;0
1;Мужской;Персияне;Глухо-немые;0
1;Мужской;Персияне;Идиоты;0
1;Мужской;Персияне;Сумасшедшие;0
1;Женский;Персияне;Слепые;0
1;Женский;Персияне;Глухие;0
1;Женский;Персияне;Немые;0
1;Женский;Персияне;Глухо-немые;0
1;Женский;Персияне;Идиоты;0
1;Женский;Персияне;Сумасшедшие;0
2;Мужской;Персияне;Слепые;0
2;Мужской;Персияне;Глухие;0
2;Мужской;Персияне;Немые;0
2;Мужской;Персияне;Глухо-немые;0
2;Мужской;Персияне;Идиоты;0
2;Мужской;Персияне;Сумасшедшие;0
2;Женский;Персияне;Слепые;0
2;Женский;Персияне;Глухие;0
2;Женский;Персияне;Немые;0
2;Женский;Персияне;Глухо-немые;0
2;Женский;Персияне;Идиоты;0
2;Женский;Персияне;Сумасшедшие;0
3;Мужской;Персияне;Слепые;0
3;Мужской;Персияне;Глухие;0
3;Мужской;Персияне;Немые;0
3;Мужской;Персияне;Глухо-немые;0
3;Мужской;Персияне;Идиоты;0
3;Мужской;Персияне;Сумасшедшие;0
3;Женский;Персияне;Слепые;0
3;Женский;Персияне;Глухие;0
3;Женский;Персияне;Немые;0
3;Женский;Персияне;Глухо-немые;0
3;Женский;Персияне;Идиоты;0
3;Женский;Персияне;Сумасшедшие;0
4;Мужской;Персияне;Слепые;0
4;Мужской;Персияне;Глухие;0
4;Мужской;Персияне;Немые;0
4;Мужской;Персияне;Глухо-немые;0
4;Мужской;Персияне;Идиоты;0
4;Мужской;Персияне;Сумасшедшие;0
4;Женский;Персияне;Слепые;0
4;Женский;Персияне;Глухие;0
4;Женский;Персияне;Немые;0
4;Женский;Персияне;Глухо-немые;0
4;Женский;Персияне;Идиоты;0
4;Женский;Персияне;Сумасшедшие;0
5;Мужской;Персияне;Слепые;0
5;Мужской;Персияне;Глухие;0
5;Мужской;Персияне;Немые;0
5;Мужской;Персияне;Глухо-немые;0
5;Мужской;Персияне;Идиоты;0
5;Мужской;Персияне;Сумасшедшие;0
5;Женский;Персияне;Слепые;1
5;Женский;Персияне;Глухие;0
5;Женский;Персияне;Немые;0
5;Женский;Персияне;Глухо-немые;0
5;Женский;Персияне;Идиоты;0
5;Женский;Персияне;Сумасшедшие;1
6;Мужской;Персияне;Слепые;0
6;Мужской;Персияне;Глухие;0
6;Мужской;Персияне;Немые;0
6;Мужской;Персияне;Глухо-немые;0
6;Мужской;Персияне;Идиоты;0
6;Мужской;Персияне;Сумасшедшие;0
6;Женский;Персияне;Слепые;1
6;Женский;Персияне;Глухие;0
6;Женский;Персияне;Немые;0
6;Женский;Персияне;Глухо-немые;0
6;Женский;Персияне;Идиоты;0
6;Женский;Персияне;Сумасшедшие;0
1;Мужской;Евреи;Слепые;0
1;Мужской;Евреи;Глухие;0
1;Мужской;Евреи;Немые;0
1;Мужской;Евреи;Глухо-немые;0
1;Мужской;Евреи;Идиоты;0
1;Мужской;Евреи;Сумасшедшие;0
1;Женский;Евреи;Слепые;0
1;Женский;Евреи;Глухие;0
1;Женский;Евреи;Немые;0
1;Женский;Евреи;Глухо-немые;0
1;Женский;Евреи;Идиоты;0
1;Женский;Евреи;Сумасшедшие;0
2;Мужской;Евреи;Слепые;1
2;Мужской;Евреи;Глухие;0
2;Мужской;Евреи;Немые;0
2;Мужской;Евреи;Глухо-немые;0
2;Мужской;Евреи;Идиоты;0
2;Мужской;Евреи;Сумасшедшие;0
2;Женский;Евреи;Слепые;0
2;Женский;Евреи;Глухие;1
2;Женский;Евреи;Немые;0
2;Женский;Евреи;Глухо-немые;1
2;Женский;Евреи;Идиоты;0
2;Женский;Евреи;Сумасшедшие;0
3;Мужской;Евреи;Слепые;0
3;Мужской;Евреи;Глухие;0
3;Мужской;Евреи;Немые;0
3;Мужской;Евреи;Глухо-немые;0
3;Мужской;Евреи;Идиоты;0
3;Мужской;Евреи;Сумасшедшие;0
3;Женский;Евреи;Слепые;0
3;Женский;Евреи;Глухие;0
3;Женский;Евреи;Немые;0
3;Женский;Евреи;Глухо-немые;0
3;Женский;Евреи;Идиоты;0
3;Женский;Евреи;Сумасшедшие;0
4;Мужской;Евреи;Слепые;0
4;Мужской;Евреи;Глухие;0
4;Мужской;Евреи;Немые;0
4;Мужской;Евреи;Глухо-немые;0
4;Мужской;Евреи;Идиоты;0
4;Мужской;Евреи;Сумасшедшие;0
4;Женский;Евреи;Слепые;0
4;Женский;Евреи;Глухие;0
4;Женский;Евреи;Немые;0
4;Женский;Евреи;Глухо-немые;0
4;Женский;Евреи;Идиоты;0
4;Женский;Евреи;Сумасшедшие;0
5;Мужской;Евреи;Слепые;0
5;Мужской;Евреи;Глухие;0
5;Мужской;Евреи;Немые;0
5;Мужской;Евреи;Глухо-немые;0
5;Мужской;Евреи;Идиоты;0
5;Мужской;Евреи;Сумасшедшие;0
5;Женский;Евреи;Слепые;0
5;Женский;Евреи;Глухие;0
5;Женский;Евреи;Немые;0
5;Женский;Евреи;Глухо-немые;0
5;Женский;Евреи;Идиоты;0
5;Женский;Евреи;Сумасшедшие;0
6;Мужской;Евреи;Слепые;0
6;Мужской;Евреи;Глухие;0
6;Мужской;Евреи;Немые;0
6;Мужской;Евреи;Глухо-немые;0
6;Мужской;Евреи;Идиоты;0
6;Мужской;Евреи;Сумасшедшие;0
6;Женский;Евреи;Слепые;0
6;Женский;Евреи;Глухие;0
6;Женский;Евреи;Немые;0
6;Женский;Евреи;Глухо-немые;0
6;Женский;Евреи;Идиоты;0
6;Женский;Евреи;Сумасшедшие;0
1;Мужской;Немцы;Слепые;0
1;Мужской;Немцы;Глухие;0
1;Мужской;Немцы;Немые;0
1;Мужской;Немцы;Глухо-немые;0
1;Мужской;Немцы;Идиоты;0
1;Мужской;Немцы;Сумасшедшие;0
1;Женский;Немцы;Слепые;0
1;Женский;Немцы;Глухие;0
1;Женский;Немцы;Немые;0
1;Женский;Немцы;Глухо-немые;0
1;Женский;Немцы;Идиоты;0
1;Женский;Немцы;Сумасшедшие;0
2;Мужской;Немцы;Слепые;0
2;Мужской;Немцы;Глухие;0
2;Мужской;Немцы;Немые;0
2;Мужской;Немцы;Глухо-немые;0
2;Мужской;Немцы;Идиоты;0
2;Мужской;Немцы;Сумасшедшие;0
2;Женский;Немцы;Слепые;0
2;Женский;Немцы;Глухие;0
2;Женский;Немцы;Немые;0
2;Женский;Немцы;Глухо-немые;0
2;Женский;Немцы;Идиоты;0
2;Женский;Немцы;Сумасшедшие;0
3;Мужской;Немцы;Слепые;0
3;Мужской;Немцы;Глухие;0
3;Мужской;Немцы;Немые;0
3;Мужской;Немцы;Глухо-немые;0
3;Мужской;Немцы;Идиоты;0
3;Мужской;Немцы;Сумасшедшие;0
3;Женский;Немцы;Слепые;0
3;Женский;Немцы;Глухие;0
3;Женский;Немцы;Немые;0
3;Женский;Немцы;Глухо-немые;0
3;Женский;Немцы;Идиоты;0
3;Женский;Немцы;Сумасшедшие;0
4;Мужской;Немцы;Слепые;1
4;Мужской;Немцы;Глухие;0
4;Мужской;Немцы;Немые;0
4;Мужской;Немцы;Глухо-немые;0
4;Мужской;Немцы;Идиоты;0
4;Мужской;Немцы;Сумасшедшие;0
4;Женский;Немцы;Слепые;0
4;Женский;Немцы;Глухие;0
4;Женский;Немцы;Немые;0
4;Женский;Немцы;Глухо-немые;0
4;Женский;Немцы;Идиоты;0
4;Женский;Немцы;Сумасшедшие;0
5;Мужской;Немцы;Слепые;0
5;Мужской;Немцы;Глухие;0
5;Мужской;Немцы;Немые;0
5;Мужской;Немцы;Глухо-немые;0
5;Мужской;Немцы;Идиоты;0
5;Мужской;Немцы;Сумасшедшие;0
5;Женский;Немцы;Слепые;0
5;Женский;Немцы;Глухие;0
5;Женский;Немцы;Немые;0
5;Женский;Немцы;Глухо-немые;0
5;Женский;Немцы;Идиоты;0
5;Женский;Немцы;Сумасшедшие;0
6;Мужской;Немцы;Слепые;0
6;Мужской;Немцы;Глухие;0
6;Мужской;Немцы;Немые;0
6;Мужской;Немцы;Глухо-немые;0
6;Мужской;Немцы;Идиоты;0
6;Мужской;Немцы;Сумасшедшие;0
6;Женский;Немцы;Слепые;0
6;Женский;Немцы;Глухие;0
6;Женский;Немцы;Немые;0
6;Женский;Немцы;Глухо-немые;0
6;Женский;Немцы;Идиоты;0
6;Женский;Немцы;Сумасшедшие;0
1;Мужской;Чуваши;Слепые;0
1;Мужской;Чуваши;Глухие;0
1;Мужской;Чуваши;Немые;0
1;Мужской;Чуваши;Глухо-немые;0
1;Мужской;Чуваши;Идиоты;0
1;Мужской;Чуваши;Сумасшедшие;0
1;Женский;Чуваши;Слепые;0
1;Женский;Чуваши;Глухие;0
1;Женский;Чуваши;Немые;0
1;Женский;Чуваши;Глухо-немые;0
1;Женский;Чуваши;Идиоты;0
1;Женский;Чуваши;Сумасшедшие;0
2;Мужской;Чуваши;Слепые;0
2;Мужской;Чуваши;Глухие;0
2;Мужской;Чуваши;Немые;0
2;Мужской;Чуваши;Глухо-немые;0
2;Мужской;Чуваши;Идиоты;0
2;Мужской;Чуваши;Сумасшедшие;0
2;Женский;Чуваши;Слепые;0
2;Женский;Чуваши;Глухие;0
2;Женский;Чуваши;Немые;0
2;Женский;Чуваши;Глухо-немые;0
2;Женский;Чуваши;Идиоты;0
2;Женский;Чуваши;Сумасшедшие;0
3;Мужской;Чуваши;Слепые;1
3;Мужской;Чуваши;Глухие;0
3;Мужской;Чуваши;Немые;0
3;Мужской;Чуваши;Глухо-немые;0
3;Мужской;Чуваши;Идиоты;0
3;Мужской;Чуваши;Сумасшедшие;0
3;Женский;Чуваши;Слепые;0
3;Женский;Чуваши;Глухие;0
3;Женский;Чуваши;Немые;0
3;Женский;Чуваши;Глухо-немые;0
3;Женский;Чуваши;Идиоты;0
3;Женский;Чуваши;Сумасшедшие;0
4;Мужской;Чуваши;Слепые;0
4;Мужской;Чуваши;Глухие;0
4;Мужской;Чуваши;Немые;0
4;Мужской;Чуваши;Глухо-немые;0
4;Мужской;Чуваши;Идиоты;0
4;Мужской;Чуваши;Сумасшедшие;0
4;Женский;Чуваши;Слепые;0
4;Женский;Чуваши;Глухие;0
4;Женский;Чуваши;Немые;0
4;Женский;Чуваши;Глухо-немые;0
4;Женский;Чуваши;Идиоты;0
4;Женский;Чуваши;Сумасшедшие;0
5;Мужской;Чуваши;Слепые;0
5;Мужской;Чуваши;Глухие;0
5;Мужской;Чуваши;Немые;0
5;Мужской;Чуваши;Глухо-немые;0
5;Мужской;Чуваши;Идиоты;0
5;Мужской;Чуваши;Сумасшедшие;0
5;Женский;Чуваши;Слепые;0
5;Женский;Чуваши;Глухие;0
5;Женский;Чуваши;Немые;0
5;Женский;Чуваши;Глухо-немые;0
5;Женский;Чуваши;Идиоты;0
5;Женский;Чуваши;Сумасшедшие;0
6;Мужской;Чуваши;Слепые;0
6;Мужской;Чуваши;Глухие;0
6;Мужской;Чуваши;Немые;0
6;Мужской;Чуваши;Глухо-немые;0
6;Мужской;Чуваши;Идиоты;0
6;Мужской;Чуваши;Сумасшедшие;0
6;Женский;Чуваши;Слепые;0
6;Женский;Чуваши;Глухие;0
6;Женский;Чуваши;Немые;0
6;Женский;Чуваши;Глухо-немые;0
6;Женский;Чуваши;Идиоты;0
6;Женский;Чуваши;Сумасшедшие;0
