precinct;gender;age_category;num
6;Женский;60;339
6;Женский;65;348
6;Женский;70;199
6;Женский;75;141
6;Женский;80;55
6;Женский;85;36
6;Женский;90;21
6;Женский;95;9
6;Женский;100;5
6;Женский;От 100;0
